x_in,y_in,w_in,x_out,y_out,w_out
225.05,-225.28,761.33,-64.425,126.59,431.36
225.44,-228.2,772,-27.468,131.88,477.92
225.52,-228.01,766.69,-76.867,117.71,463.07
223.59,-225.44,765.47,-52.609,128.82,477.95
229.15,-231.84,771.28,-35.997,130.87,466.37
226.64,-230.09,768.6,-29.676,134.37,471.96
441.48,-260,158.34,119.92,186.84,-193.77
438.08,-254.72,157.18,125.04,182.58,-169.9
439.02,-246.2,160.05,123.21,181.12,-178.72
442.02,-257.07,158.6,97.501,192.84,-181.48
436.44,-257.68,158.82,140.01,176.28,-160.92
451.89,-263.1,160.34,148.08,195.26,-112.5
994.68,-329.16,889.96,517.46,264.39,385.5
1008.7,-355.58,923.57,496.64,272.7,409.52
994.36,-354.23,912.37,480.04,271.27,372.33
1029.2,-373.58,923.11,487.09,276.86,423.57
991.98,-335.95,917.44,491.49,287.82,410.01
1006.2,-360.31,923.84,493.98,254.08,401.81
411.87,-263.3,-144.82,171.28,203.8,-263.34
416.58,-262.49,-147.22,154.59,208.34,-262.81
427.62,-267.78,-149.13,165.4,211.18,-264.21
422.21,-262.73,-146.47,161.49,216.99,-262.36
421.69,-261.47,-145.49,175.18,207.72,-258.67
424.27,-258.47,-147.88,162.97,205.59,-260.04
549.15,-278.85,8.3732,216.71,226.54,-281.35
554.83,-278.62,2.7626,175.43,240.14,-298.18
554.47,-280.85,10.51,191.74,242.66,-255.05
550.64,-280.18,11.277,212.82,226.04,-262.71
557.06,-285.04,4.1175,180.42,243.02,-304.86
554.88,-280.21,12.193,224.59,234.75,-233.92
762.17,-290.62,396.89,338.92,239.24,-177.05
812.4,-309.3,390.22,364.6,232.24,-137.6
778.19,-287.35,396.96,325.53,248.58,-157.15
776.75,-299.29,397.12,310.57,255.61,-171.02
806.11,-313.56,398.07,373.33,253.86,-100.63
814.92,-302.31,405.72,393.24,247.23,-34.32
793.69,-327.02,-372.12,450.55,268.07,-554.22
801.42,-323.06,-371.41,452.27,278.49,-560.82
794.54,-344.57,-365.42,435.45,264.05,-546
815.21,-344.4,-374.45,455.6,280.03,-558.2
789.2,-326.96,-371.51,425.41,274.59,-553.33
784.52,-353,-368.59,426.24,280.6,-553.12
1174.6,-407.59,-2.9988,638.73,298.59,-552.93
1104.6,-372.22,-1.9093,590.52,307.47,-571.28
807.04,-383.92,20.059,546.31,293.99,-540.11
1152.2,-430.91,18.544,597.28,312.14,-561.96
1151.3,-423.81,8.5438,565.58,314.02,-584.01
1110.6,-403.29,4.5885,567.85,320.19,-567.18
